Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H1_remelt,159.2,1200,73.7,0.06,0.03,0.18,195484,1650.950683,55.61300502,1.33E+11,68.53592364,17.29889913,14626483.18,-93404173.66,299.2519111,0.039082099,-0.183244538,73.8911633,17.69449202,30603489.1,-196848293.3,313.0950479,-0.016239535,-0.244574617,2948.696359,0.001217454
H1_remelt,159.2,1200,73.7,0.06,0.03,0.21,196224,1653.453132,57.46783066,1.34E+11,73.35200182,17.34574649,14761227.45,-94282316.09,300.8749215,0.053264168,-0.201716505,72.66770028,17.735621,30862400.2,-198594148.3,314.5522523,-0.027402801,-0.250333084,2943.436493,0.001253631
H1_remelt,159.2,1200,73.7,0.06,0.03,0.24,207488,1651.715207,59.86577202,1.42E+11,80.23982474,17.37788817,15666416.09,-100213247.9,301.9909974,0.035930142,-0.184544864,76.68489479,17.73698462,32639025.69,-210106857.9,314.6006236,-0.011316134,-0.250703571,2933.724147,0.001098827
H1_remelt,159.2,1200,73.7,0.06,0.03,0.27,195506,1659.899376,60.86782837,1.35E+11,71.60025445,17.26216861,14565759.56,-93032106.8,297.9824653,0.030994201,-0.160247688,74.76107962,17.71627611,30682330.27,-197418793.7,313.8664392,-0.020482943,-0.243275177,2980.485003,0.001217317
H1_remelt,159.2,1200,73.7,0.06,0.03,0.3,193469,1663.733316,56.85024722,1.34E+11,68.21755409,17.34695227,14555972.85,-93027530.33,300.9167531,0.038365632,-0.187980239,72.23714832,17.68582602,30258588.01,-194628019.4,312.7884419,-0.007885091,-0.250943528,2991.225234,0.001157766
H1_remelt,159.2,1200,73.7,0.06,0.03,0.33,195522,1660.790754,59.67517507,1.35E+11,69.37956326,17.39959567,14799734.81,-94616092.52,302.7459294,0.023963651,-0.197299973,68.03833218,17.71689816,30687004.03,-197457578.9,313.8884805,-0.021503711,-0.253178331,2968.116943,0.001206988
H1_remelt,159.2,1200,73.7,0.06,0.03,0.36,192430,1662.205077,59.99631757,1.33E+11,70.13042762,17.39459854,14557444.78,-93125074.18,302.5720583,0.040242628,-0.172782563,70.34793539,17.7626836,30358118.71,-195469155.1,315.5129285,-0.005448656,-0.239221848,2963.406308,0.001371885
H1_remelt,159.2,1200,73.7,0.06,0.03,0.39,188837,1661.562281,59.16446624,1.31E+11,64.66150957,17.37349292,14251182.28,-91049404.77,301.8382562,0.051504551,-0.221385658,69.84603528,17.75133555,29753314.7,-191569003.4,315.1099137,-0.021321428,-0.251954156,2965.905315,0.001302663
H1_remelt,159.2,1200,73.7,0.06,0.03,0.42,195987,1667.963903,61.52163176,1.37E+11,71.34587106,17.37813833,14798647.65,-94619952.74,301.9996918,0.036587073,-0.189282273,76.70431559,17.77181661,30951138.92,-199308794.5,315.8374658,-0.002452075,-0.240169611,2983.928847,0.001285754
H1_remelt,159.2,1200,73.7,0.06,0.03,0.45,199096,1665.901527,63.26839387,1.38E+11,71.26024465,17.32828367,14947111.64,-95403653.52,300.2694151,0.039809382,-0.22387308,70.1564639,17.77008314,31435808.93,-202399101.7,315.7758549,-0.019848658,-0.254235781,2982.721391,0.001104961
H1_remelt,159.2,1200,73.7,0.06,0.03,0.48,193977,1664.729276,61.45842005,1.35E+11,77.89578635,17.48523182,14828038.88,-94991626.5,305.7333318,0.030233824,-0.17943852,71.03387274,17.78293733,30672074.16,-197433649.4,316.2328599,-0.021821826,-0.266239376,2958.006033,0.001195975
H1_remelt,159.2,1200,73.7,0.06,0.03,0.51,195072,1663.641202,61.01275911,1.35E+11,74.06422515,17.40815688,14780422.51,-94495760.68,303.0439261,0.023698178,-0.205611783,73.07411734,17.82124811,30978109.99,-199601857.5,317.5968842,-0.024074037,-0.255480554,2953.999723,0.001055988
H1_remelt,159.2,1200,73.7,0.06,0.03,0.54,198556,1662.073649,62.19237357,1.37E+11,82.95924709,17.31579948,14885473.89,-95015725.05,299.8369118,0.026175907,-0.20562895,78.08508164,17.81090337,31494817.59,-202997218.2,317.2282788,-0.015431375,-0.246146339,2961.020898,0.001118039
H1_remelt,159.2,1200,73.7,0.06,0.03,0.57,192602,1671.916679,63.57250346,1.35E+11,72.86979166,17.40319823,14584858.54,-93224718.44,302.8713086,0.038644684,-0.211539173,71.72447922,17.81992237,30581324.84,-197160699.6,317.5496331,-0.021375009,-0.252641173,2984.590178,0.0011526
H1_remelt,159.2,1200,73.7,0.06,0.03,0.6,188416,1670.651782,62.82972299,1.32E+11,70.99559828,17.39524455,14255045.1,-91239053.62,302.5945331,0.028115385,-0.16805456,72.97134935,17.85402037,30031368.69,-193657768.1,318.7660435,-0.02227014,-0.249809598,2973.165339,0.001220664
H1_remelt,159.2,1200,73.7,0.06,0.03,0.63,194848,1665.994071,61.30885925,1.35E+11,67.58316948,17.41430969,14773828.89,-94576747.17,303.2581819,0.049421362,-0.164870871,76.61794105,17.83105365,30976576.78,-199574090.5,317.9464744,-0.024551735,-0.258066691,2959.512894,0.00130354
H1_remelt,159.2,1200,73.7,0.06,0.03,0.66,191706,1666.095723,61.78651002,1.33E+11,67.08131007,17.3874857,14490825.48,-92670484.53,302.324659,0.021171704,-0.200200037,72.21296498,17.83372338,30486246.95,-196528802.9,318.0416897,-0.027153746,-0.249769174,2962.252444,0.001137122
H1_remelt,159.2,1200,73.7,0.06,0.03,0.69,190080,1665.724213,60.94870644,1.32E+11,75.39542128,17.49086465,14539366.05,-93063168.37,305.9303461,0.027607046,-0.217310661,66.7417448,17.85221469,30290395.68,-195287460.4,318.7015692,-0.021637448,-0.258117365,2945.390938,0.001094242
H1_remelt,159.2,1200,73.7,0.06,0.03,0.72,196666,1670.655019,61.39216461,1.37E+11,66.25615952,17.45488511,14981228,-95885734.78,304.6730141,0.024661503,-0.19672122,70.7512578,17.85851835,31362160.99,-202186968.2,318.9266776,-0.026065572,-0.26240248,2965.38354,0.001077937
H1_remelt,159.2,1200,73.7,0.06,0.03,0.75,188324,1671.419168,60.60329525,1.32E+11,75.32502991,17.4023194,14259626.14,-91237931.51,302.8407204,0.034810516,-0.171826965,76.7927462,17.85275951,30012413.48,-193405318.8,318.7210222,-0.02427615,-0.266331372,2975.11399,0.001093825
