Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H7_remelt,199,1920,57.58,0.06,0.03,0.18,142552,1645.100157,57.6736271,96581151872,76.76997896,17.4248118,10822074.5,-69368725.79,303.6240663,0.026435307,-0.143962422,63.96326463,17.73658149,22423725.94,-144207512.2,314.5863231,-0.021103181,-0.27834102,2905.063214,0.001010115
H7_remelt,199,1920,57.58,0.06,0.03,0.21,145408,1645.132889,59.76085633,98528690910,84.57705066,17.30570408,10888602.04,-69489579.76,299.4873936,0.034677173,-0.225265997,73.99331935,17.73392656,22865780.85,-147192266.7,314.4921512,-0.013810067,-0.246007067,2918.98955,0.001031538
H7_remelt,199,1920,57.58,0.06,0.03,0.24,155957,1640.208658,59.70029142,1.05E+11,70.23753441,17.34129245,11726428.25,-74909735.51,300.7204239,0.04515665,-0.200664646,72.62813123,17.73457496,24526569.18,-157803624.3,314.5151489,-0.014375684,-0.2569452,2897.524024,0.001141289
H7_remelt,199,1920,57.58,0.06,0.03,0.27,144384,1648.831216,62.78606151,98288094139,68.55265776,17.41980791,10954838.85,-70114542.63,303.4497078,0.027580609,-0.191937607,70.56907151,17.7682586,22792977.34,-146859656.9,315.7110135,-0.023032699,-0.236867268,2912.428276,0.001274326
H7_remelt,199,1920,57.58,0.06,0.03,0.3,140267,1654.444082,64.07873111,96142568608,72.31141718,17.48885515,10727214.33,-68785975.73,305.8600544,0.042656892,-0.156943079,75.77354573,17.69770519,21967553.99,-141311430.7,313.2087691,-0.020824505,-0.242172224,2940.610182,0.001311718
H7_remelt,199,1920,57.58,0.06,0.03,0.33,142861,1650.199907,60.08867339,97400237979,63.89365151,17.52408549,10969389.05,-70349117.68,307.0935722,0.036405287,-0.202082112,66.12805824,17.78678401,22599672.11,-145722585.8,316.3696854,-0.016622011,-0.23036732,2901.488294,0.001245905
H7_remelt,199,1920,57.58,0.06,0.03,0.36,142176,1650.465312,60.89242175,96968558367,68.87619262,17.46676218,10845569.8,-69459697.65,305.0877811,0.03323497,-0.194158748,69.31461371,17.76510541,22436279.97,-144480842.1,315.5989701,-0.029130912,-0.248366535,2913.556759,0.001083119
H7_remelt,199,1920,57.58,0.06,0.03,0.39,138240,1646.062403,59.06920544,93775211616,69.82544224,17.51146743,10599426.63,-67824570.53,306.6514915,0.043222972,-0.24213569,76.47110324,17.76447455,21813605.15,-140449680.3,315.5765562,-0.007113009,-0.248267855,2893.132992,0.001070555
H7_remelt,199,1920,57.58,0.06,0.03,0.42,144302,1655.166478,65.589153,98999118463,70.46686651,17.55309051,11116718.3,-71281429.73,308.1109864,0.038670146,-0.173832106,74.44360378,17.77794075,22804661,-146882684.4,316.0551774,-0.009978074,-0.249366063,2918.487412,0.001247332
H7_remelt,199,1920,57.58,0.06,0.03,0.45,144836,1655.692357,61.79613732,99412353106,84.72957185,17.4239249,10994341.75,-70439523.66,303.593159,0.069394806,-0.137288106,71.97500271,17.8474564,23068476.18,-148785351.4,318.5316998,-0.021719932,-0.252135364,2918.500557,0.00096657
